作者姓名,作品标题,类型
韩愈,左迁至蓝关示侄孙湘,诗
温庭筠,商山早行,诗
范仲淹,岳阳楼记,文言文
欧阳修,醉翁亭记,文言文
张岱,湖心亭看雪,文言文
李白,行路难,诗
苏轼,水调歌头,词
孟子,鱼我所欲也,文言文
宋濂,送东阳马生序,文言文
范仲淹,渔家傲·秋思,词
苏轼,江城子·密州出猎,词
辛弃疾,破阵子·为陈同甫赋壮词以寄之,词
秋瑾,满江红·小住京华,词
佚名,定风波,诗
陈与义,临江仙·夜登小阁忆洛中旧游,词
辛弃疾,太常引·建康中秋夜为吕叔潜赋,词
纳兰性德,浣溪沙·身向云山那畔行,词
曹雪芹,香菱学诗,文言文
曹刿,曹刿论战,文言文
佚名,邹忌讽齐王纳谏,文言文
诸葛亮,出师表,文言文
佚名,十五从军征,诗
岑参,白雪歌送武判官归京,诗
辛弃疾,南乡子·登京口北固亭有怀,词
文天祥,过零丁洋,诗
张养浩,山坡羊·潼关怀古,曲
文天祥,南安军,诗
夏完淳,别云间,诗
张养浩,山坡羊·骊山怀古,曲
王磐,朝天子·咏喇叭,曲
毛泽东,沁园春·长沙,词
佚名,诗经·芣苢,诗
苏辙,文氏外孙入村收麦,诗
杨万里,插秧歌,诗
曹操,短歌行,诗
陶渊明,归园田居（其一）,诗
李白,梦游天姥吟留别,诗
杜甫,登高,诗
白居易,琵琶行并序,诗
苏轼,念奴娇·赤壁怀古,词
辛弃疾,永遇乐·京口北固亭怀古,词
李清照,声声慢·寻寻觅觅,词
荀子,劝学,文言文
韩愈,师说,文言文
苏轼,赤壁赋,文言文
姚鼐,登泰山记,文言文
佚名,诗经·静女,诗
佚名,涉江采芙蓉,诗
李煜,虞美人·春花秋月何时了,词
秦观,鹊桥仙·纤云弄巧,词
集体,子路曾皙冉有公西华侍坐,文言文
孟子,齐桓晋文之事,文言文
庄子,庖丁解牛,文言文
左丘明,烛之武退秦师,文言文
司马迁,鸿门宴,文言文
李斯,谏逐客书,文言文
林觉民,与妻书,文言文
魏徵,谏太宗十思疏,文言文
王安石,答司马谏议书,文言文
杜牧,阿房宫赋,文言文
苏洵,六国论,文言文
杜甫,登岳阳楼,诗
王安石,桂枝香·金陵怀古,词
张孝祥,念奴娇·过洞庭,词
鲁迅,祝福（节选）,文言文
集体,诗经·氓,诗
屈原,离骚（节选）,诗
佚名,孔雀东南飞并序,诗
李白,蜀道难,诗
杜甫,蜀相,诗
柳永,望海潮·东南形胜,词
姜夔,扬州慢·淮左名都,词
鲍照,拟行路难（其四）,诗
杜甫,客至,诗
黄庭坚,登快阁,诗
陆游,临安春雨初霁,诗
高适,燕歌行并序,诗
李贺,李凭箜篌引,诗
李商隐,锦瑟,诗
陆游,书愤,诗
佚名,诗经·无衣,诗
张若虚,春江花月夜,诗
李白,将进酒,诗
苏轼,江城子·十年生死两茫茫,词
司马迁,报任安书（节选）,文言文
